demiurge souhaiter-rendre-hommes-immortels 
hommes devoir-se-poster-bord-eau 
hommes devoir-laisser-passer-2-pirogues 
hommes vivre-sous-terre 
hommes entendre-cri-sariema 
hommes arriver-sur-terre 
hommes trouver-fruits-abeilles-miel 
hommes trouver-bois-mort 
hommes ramener-echantillons 
