femme cueillir-palmes-en-foret 
fils suivre 
fils violer 
pere decouvrir-forfait 
pere vouloir-vengeance 
fils maigrir 
pere tuer-frere-mere 
pere enterer-4-tatous 
fils deguiser-en-oiseau 
fils lacher-fiente-sur-epaule-pere 
pere gener-arbre-sur-epaule 
pere fatiguer-a-cause-de-l-eau 
pere devenir-heros 
pere tuer-ceux-sans-cadeau 
