<< value = [0.000624512099921936, 0, 0]; time = 315>>
<< value = [0.0012190476190476192, 0, 0]; time = 344>>
<< value = [0.0019606234001609845, 0, 0]; time = 797>>
<< value = [0.0029471700331877753, 0, 0]; time = 1243>>
<< value = [0.0035043233444074125, 0, 0]; time = 1269>>
<< value = [0.005495227295812934, 0, 0]; time = 2056>>
<< value = [0.006995007947350187, 0, 0]; time = 3135>>
<< value = [0.007662886902038334, 0, 0]; time = 3529>>
<< value = [0.008315776205974587, 0, 0]; time = 3930>>
<< value = [0.008873428849933092, 0, 0]; time = 3940>>
<< value = [0.00964436883846036, 0, 0]; time = 4269>>
<< value = [0.010664899599592482, 0, 0]; time = 4306>>
<< value = [0.012610029151182324, 0, 0]; time = 5599>>
<< value = [0.01327348098675832, 0, 0]; time = 5633>>
<< value = [0.014327492887102718, 0, 0]; time = 6264>>
<< value = [0.014895437041538492, 0, 0]; time = 6584>>
<< value = [0.01561729706028944, 0, 0]; time = 7025>>
<< value = [0.01603102394193953, 0, 0]; time = 7160>>
<< value = [0.016592703195865317, 0, 0]; time = 7164>>
<< value = [0.017241760730003552, 0, 0]; time = 7372>>
<< value = [0.017869119100973326, 0, 0]; time = 7427>>
<< value = [0.018665887079419255, 0, 0]; time = 7682>>
<< value = [0.019531622003045757, 0, 0]; time = 8717>>
<< value = [0.020021303200422825, 0, 0]; time = 8798>>
<< value = [0.021214689028611722, 0, 0]; time = 9214>>
<< value = [0.021631626250137356, 0, 0]; time = 10169>>
<< value = [0.021656110584031378, 0, 0]; time = 10815>>
<< value = [0.022242451996375086, 0, 0]; time = 10844>>
<< value = [0.022590722997043854, 0, 0]; time = 11352>>
<< value = [0.02305827109516553, 0, 0]; time = 11750>>
<< value = [0.02319306535287133, 0, 0]; time = 12102>>
<< value = [0.022739710972014347, 0, 0]; time = 13507>>
<< value = [0.02322015167332709, 0, 0]; time = 13528>>
<< value = [0.02344455398464588, 0, 0]; time = 13598>>
<< value = [0.023434619610994883, 0, 0]; time = 14025>>
<< value = [0.023690221511730593, 0, 0]; time = 14480>>
