<< value = [0.0010796221322537112, 0, 0]; time = 101>>
<< value = [0.07256130495160486, 0, 0]; time = 412>>
<< value = [0.08680251564551601, 0, 0]; time = 458>>
<< value = [0.15665477294762428, 0, 0]; time = 746>>
<< value = [0.18656146656241385, 0, 0]; time = 887>>
<< value = [0.1940882127587929, 0, 0]; time = 927>>
<< value = [0.19651258335339128, 0, 0]; time = 955>>
<< value = [0.21018580700406106, 0, 0]; time = 1052>>
<< value = [0.21406076166241192, 0, 0]; time = 1069>>
<< value = [0.2152017755327524, 0, 0]; time = 1078>>
<< value = [0.2401146297422426, 0, 0]; time = 1295>>
<< value = [0.24683961994614778, 0, 0]; time = 1372>>
<< value = [0.27169257335535246, 0, 0]; time = 1648>>
<< value = [0.2807331066449247, 0, 0]; time = 1776>>
<< value = [0.2922051250131162, 0, 0]; time = 1925>>
<< value = [0.30345189285223506, 0, 0]; time = 2062>>
<< value = [0.3133774233961675, 0, 0]; time = 2342>>
<< value = [0.31743733974626376, 0, 0]; time = 2474>>
<< value = [0.32149475210978945, 0, 0]; time = 2605>>
<< value = [0.32215836422600114, 0, 0]; time = 2632>>
<< value = [0.3240167433940597, 0, 0]; time = 2738>>
<< value = [0.32840869228321534, 0, 0]; time = 3024>>
<< value = [0.32881603198606496, 0, 0]; time = 3063>>
<< value = [0.33005189686246933, 0, 0]; time = 3184>>
<< value = [0.33054711344118437, 0, 0]; time = 3298>>
<< value = [0.33066690478030075, 0, 0]; time = 3334>>
<< value = [0.3312541816565755, 0, 0]; time = 3481>>
<< value = [0.3314882373104346, 0, 0]; time = 3508>>
<< value = [0.33161435209348855, 0, 0]; time = 3529>>
<< value = [0.3324166603948405, 0, 0]; time = 3700>>
<< value = [0.33265322575587325, 0, 0]; time = 3765>>
<< value = [0.3329242471153836, 0, 0]; time = 3841>>
<< value = [0.3329890696839052, 0, 0]; time = 3860>>
<< value = [0.33312560881608805, 0, 0]; time = 3912>>
<< value = [0.33335304406798544, 0, 0]; time = 4008>>
<< value = [0.3336548326371269, 0, 0]; time = 4133>>
<< value = [0.3336784449021434, 0, 0]; time = 4166>>
<< value = [0.3338740447915412, 0, 0]; time = 4297>>
<< value = [0.3339324589943938, 0, 0]; time = 4331>>
<< value = [0.3340049547147658, 0, 0]; time = 4385>>
<< value = [0.3340482803064515, 0, 0]; time = 4425>>
<< value = [0.33409537458971156, 0, 0]; time = 4453>>
<< value = [0.3342018825620046, 0, 0]; time = 4565>>
<< value = [0.33422966470903037, 0, 0]; time = 4600>>
<< value = [0.3342359191132137, 0, 0]; time = 4622>>
<< value = [0.3344382551548874, 0, 0]; time = 4761>>
<< value = [0.3346244141525195, 0, 0]; time = 4879>>
<< value = [0.3346398119287392, 0, 0]; time = 4918>>
<< value = [0.33468573410705593, 0, 0]; time = 5013>>
<< value = [0.33472097557793773, 0, 0]; time = 5081>>
<< value = [0.3347212612700108, 0, 0]; time = 5087>>
<< value = [0.33476773002945465, 0, 0]; time = 5248>>
<< value = [0.334770681522281, 0, 0]; time = 5267>>
<< value = [0.3347968177239101, 0, 0]; time = 5405>>
<< value = [0.33479966789292154, 0, 0]; time = 5418>>
<< value = [0.33483264111202954, 0, 0]; time = 5685>>
<< value = [0.33483392352825864, 0, 0]; time = 5718>>
<< value = [0.33484857833651405, 0, 0]; time = 5847>>
<< value = [0.334850197232377, 0, 0]; time = 5901>>
<< value = [0.3348562527782171, 0, 0]; time = 6018>>
<< value = [0.33485938217512357, 0, 0]; time = 6087>>
<< value = [0.33486194966411226, 0, 0]; time = 6199>>
<< value = [0.3348620105269648, 0, 0]; time = 6221>>
<< value = [0.3348632814157489, 0, 0]; time = 6235>>
<< value = [0.3348823030022211, 0, 0]; time = 6337>>
<< value = [0.3348824540175283, 0, 0]; time = 6368>>
<< value = [0.33488274753361374, 0, 0]; time = 6399>>
<< value = [0.3348827766005688, 0, 0]; time = 6410>>
<< value = [0.33488663111819245, 0, 0]; time = 6483>>
<< value = [0.33488667866298827, 0, 0]; time = 6494>>
<< value = [0.3348866794603819, 0, 0]; time = 6500>>
<< value = [0.33488823366611314, 0, 0]; time = 6622>>
<< value = [0.334888459068121, 0, 0]; time = 6653>>
<< value = [0.3348886832093082, 0, 0]; time = 6715>>
<< value = [0.3348888145598118, 0, 0]; time = 6784>>
<< value = [0.3348888802902985, 0, 0]; time = 6839>>
<< value = [0.33488897339196144, 0, 0]; time = 6932>>
<< value = [0.33488897580844024, 0, 0]; time = 6945>>
<< value = [0.33488917277632096, 0, 0]; time = 7049>>
<< value = [0.3348893527644201, 0, 0]; time = 7268>>
<< value = [0.33488935600489056, 0, 0]; time = 7278>>
<< value = [0.33489005024228585, 0, 0]; time = 7308>>
<< value = [0.33489028738197046, 0, 0]; time = 7398>>
<< value = [0.33489028817609334, 0, 0]; time = 7412>>
<< value = [0.3348903816788838, 0, 0]; time = 7606>>
<< value = [0.3348905276538512, 0, 0]; time = 7658>>
